UlicaID;Ulica_Name;Dzielnica_Name;Miasto_Name
511;Adamów;Brak;Adamów
1911;Aleksandrów łódzki;Brak;Aleksandrów łódzki
17415;Brużyczka mała;Brużyczka mała;Aleksandrów łódzki
24474;Karolew;Karolew;Aleksandrów łódzki
8488;Jakubowice;Jakubowice;Annopol
929;Babice;Brak;Babice
20695;Jankowice;Jankowice;Babice
13940;Cieszkowo-kolonia;Cieszkowo-kolonia;Baboszewo
52592;Niedarzyn;Niedarzyn;Baboszewo
11733;Matłak;Matłak;Bakałarzewo
4605;Płociczno;Płociczno;Bakałarzewo
25393;Sokołowo;Sokołowo;Bakałarzewo
2584;Baranowo;Brak;Baranowo
20500;Toporek;Toporek;Baranowo
18448;Wola czołnowska;Wola czołnowska;Baranów
289292;Międzywodzie;Skopanie;Baranów sandomierski
22965;Barciany;Barciany;Barciany
25882;Gulczewo;Gulczewo;Barcin
54977;Wolice;Wolice;Barcin
23200;Lamkowo;Lamkowo;Barczewo
3663;Wrócikowo;Wrócikowo;Barczewo
6863;Przyłęk;Przyłęk;Bardo
5797;Barlinek;Brak;Barlinek
1920;Bartniczka;Brak;Bartniczka
10718;Galiny;Galiny;Bartoszyce
12441;Kiertyny małe;Kiertyny małe;Bartoszyce
20677;Żardyny;Żardyny;Bartoszyce
24259;Bełchatów;Brak;Bełchatów
12746;Jaroszewice;Jaroszewice;Bełżyce
24138;Kaliszki;Kaliszki;Biała piska
19354;Kolonia kawałek;Kolonia kawałek;Biała piska
360;Biała podlaska;Brak;Biała podlaska
7902;Czosnówka;Czosnówka;Biała podlaska
11481;Mikołajówka;Mikołajówka;Biała podlaska
23704;Sycyna;Sycyna;Biała podlaska
542085;Królowej jadwigi;Ul. Królowej jadwigi;Biała podlaska
548957;Sidorska;Wola;Biała podlaska
31843;Rzyszczewo;Białogard;Białogardzki
11661;Stanomino;Białogard;Białogardzki
30;Białogardzki;Brak;Białogardzki
99764;Antoniuk;Antoniuk;Białystok
380625;Towarowa;Bojary;Białystok
352;Białystok;Brak;Białystok
549038;Gajowa;Dziesięciny;Białystok
441966;Pomorska;Skorupy;Białystok
69737;Skorupy;Skorupy;Białystok
22587;Bielawa;Brak;Bielawa
8061;Śmiłowo;Śmiłowo;Bielsk
20537;Nałogi;Nałogi;Bielsk podlaski
333;Bielsko-biała;Brak;Bielsko-biała
376425;Jeżynowa;Kamienica;Bielsko-biała
98849;Kamienica;Kamienica;Bielsko-biała
371823;Klemensa matusiaka;Ul. Klemensa matusiaka;Bielsko-biała
7808;Korzonek;Korzonek;Bierawa
312751;Granitowa;Bieruń nowy;Bieruń
10623;Kłodzin;Kłodzin;Bierzwnik
2125;Czarna;Czarna;Bieszczadzki
8183;Rosochate;Czarna;Bieszczadzki
15795;Muczne;Lutowiska;Bieszczadzki
17736;Ludwinowo;Ludwinowo;Bieżuń
16274;Huta łodzińska;Huta łodzińska;Bircza
11862;Sufczyna;Sufczyna;Bircza
16319;Suszka;Suszka;Biszcza
13375;Wólka biska;Wólka biska;Biszcza
44523;Bledzew;Bledzew;Bledzew
18019;Górawino;Górawino;Bobolice
497060;Dworcowa;Ul. Dworcowa;Bobolice
48700;Sączów;Sączów;Bobrowniki
3959;Czartówiec;Czartówiec;Bobrowo
28289;Bochnia;Brak;Bochnia
21316;Wise;Wise;Bochnia
25547;Białobrzegi;Białobrzegi;Bodzanów
1970;Bodzanów;Brak;Bodzanów
332570;Aleja trzech państw;Kopaczów;Bogatynia
3410;Posada;Posada;Bogatynia
417625;Władysława stanisława reymonta;Ul. Władysława stanisława reymonta;Boguszów-gorce
38617;Bolesławiec;Brak;Bolesławiec
419550;Stefana starzyńskiego;Ul. Stefana starzyńskiego;Bolesławiec
6319;Frasunek;Frasunek;Borek wielkopolski
45028;Tchórzew-kolonia;Tchórzew-kolonia;Borki
